-1.6,0.1,13.2,14.6,15.5,15.9,18.0,21.2,23.6,24.0,24.0,26.9,28.2,29.3,29.5,31.9,32.7,43.9,48.5,49.5,53.4,54.4,56.8,57.1
0.2,4.8,12.8,15.6,16.8,17.0,17.1,18.6,21.6,23.9,24.1,26.7,28.2,30.4,30.7,40.3,41.0,44.0,47.7,49.8,50.3,51.2,53.9,54.3
-5.5,-1.6,-0.0,0.1,5.4,15.5,16.5,16.8,18.8,22.4,22.6,22.7,26.4,28.1,29.7,36.5,43.4,44.1,45.8,49.0,52.4,52.9,57.1,59.7
0.0,0.1,0.1,4.3,16.3,16.8,18.2,18.8,20.9,22.8,23.1,24.7,25.0,25.5,26.4,38.0,38.5,42.1,43.8,45.8,48.0,48.6,51.0,54.4
0.1,15.8,17.1,18.1,22.2,22.9,23.1,24.1,25.3,26.3,27.6,28.5,34.6,40.5,42.7,42.9,44.6,45.8,46.6,48.0,48.6,49.7,52.9,56.9
-1.1,18.4,20.9,21.8,22.1,23.1,24.5,24.6,24.7,27.6,29.6,29.8,32.3,34.4,41.4,43.4,43.6,46.4,47.2,47.8,48.5,48.7,49.9,50.9
9.9,16.7,21.4,22.9,26.3,27.5,27.7,28.3,28.4,28.5,32.0,33.0,41.1,41.9,42.0,42.7,44.5,44.9,45.7,46.0,47.7,51.1,52.2,53.9
0.5,13.7,18.3,20.9,22.7,25.9,27.4,27.7,28.5,37.0,39.5,40.1,41.9,43.2,43.3,45.5,45.8,46.0,46.3,47.3,48.9,49.3,50.7,53.5
0.0,0.0,0.1,0.1,0.1,5.3,14.1,23.0,23.5,26.5,28.7,39.5,40.9,42.0,42.5,43.2,43.8,43.9,45.2,47.7,52.5,53.1,54.7,54.7
0.0,0.0,0.0,0.1,0.1,0.2,14.4,18.4,22.3,23.2,23.6,26.1,26.1,42.6,43.4,44.6,45.9,47.0,47.0,47.4,47.6,51.4,51.9,56.1
-0.0,0.0,0.0,2.5,16.3,18.1,18.4,20.4,22.1,22.9,25.4,27.9,35.2,36.6,41.0,41.9,41.9,44.0,45.8,47.3,52.5,53.4,53.8,54.8
0.1,0.1,0.1,14.8,17.6,21.8,22.4,22.7,22.8,24.1,24.1,24.2,27.4,41.9,43.2,45.2,45.7,47.0,48.2,49.3,52.7,52.7,54.1,56.9
